lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
7	A GCAC visit form should be added to this visit.	Ett GCAC besöksformulär ska läggas till för detta besök	Formulario de visita GCAC debe ser agregado a esta visita	Formulario de visita GCAC debe ser agregado a esta visita	Ein GCAC Konsultationsformular sollte angefügt werden	Een CGAC visite formulier hoort bij dit bezoek.		Un formulaire de visite GCAC doit être ajouté à cette visite	Un formulaire de visite GCAC doit être ajouté à cette visite		本次门诊应添加一个GCAC门诊表格	一個GCAC參訪表格應該增加到這次的參訪	Для этого посещения необходимо добавить форму GCAC.			Formulir kunjungan CGAC harus ditambahkan pada kunjungan ini	Μια επίσκεψη GCAC πρέπει να προστεθεί σε αυτήν την επίσκεψη.		Um formulário GCAC deve ser acrescentado a esta visita	Um formulário GCAC deve ser acrescentado a esta visita.	ينبغي اضافة استمارة الزيارة لهذه الزيارة		Bu kayda GCAC vizit formunun eklenmesi gerekiyor.	Formularz GCAC powinien być dodany do tej wizyty		Si dovrebbe aggiungere un modulo GCAC a questa visita.	एक GCAC visit फार्म इस visit के लिए जोड़ा जाना चाहिए.	o forma de vizita GCAC trebuie adaugata la aceasta vizita	Phải thêm vào lần đến khám này một biểu mẫu đến khám GCAC.		Nje formular konsulte tek GCAC duhet shtuar tek kjo vizite		GCAC форма повина бути додана до цього відвідування.		Selle visiidi jaoks peaks lisama GCAC vormi	یک فرم ملاقات GCAC باید به این ملاقات اضافه شده است.	Prie šio vizito reikalinga pridėti GCAC formą			GCAC vierailu lomake lisätään tämän vierailun.		dummy
8	A lot number is required	Ett lot-nr krävs!	Un número de lote es requerido	Un número de lote es requerido	Ein Losnummer ist notwendig!	Een lot # is vereist		Un numéro de lot est requis	Un numéros de lot est requis		需要一个批号	需要很多的數字	Номер партии является обязательным			Angka perlu lebih banyak lagi	Απαιτείται αριθμός παρτίδας		Falta o número de lote	Um número de lote é necessário	رقم الشحنة مطلوب	Det er nødvendigt med et serienummer	Bir parti numarası gerekiyor.	Wymagany jest numer serii		Si richiede il numero del lotto	एक lot नंबर की आवश्यकता है	Este necesar un numar de lot	Phải có số lô sản xuất		Numri i lotit nevojitet		Вимагається номер партії	লট নম্বর দরকার 	Partiinumber on vajalik	شماره سری مورد نیاز است	Reikalingas partijos numeris		ロット番号が必要です	Eränumero tarvitaan		dummy
9	A lot number is required!	Ett lot-nr krävs!	Un número de lote es requerido!	Un número de lote es requerido!	Ein Losnummer ist notwendig!	Een lot # is vereist!		Un numéro de lot est exigé !	Un numéro de lot est exigé !	Et serienummer kreves!	需要一个批号！	需要很多的數字﹗	Номер партии обязателен!			Angka perlu lebih banyak lagi!	Απαιτείται αριθμός παρτίδας!		Falta o número de lote!	Um número de lote é necessário!	رقم الشحنة مطلوب	Det er nødvendigt med et serienummer	Bir parti numarası gerekiyor!	Wymagany jest numer serii!		Si richiede il numero del lotto!	एक lot नंबर की आवश्यकता है!	Este necesar un numar de lot!	Phải có số lô sản xuất!		Numri i lotit nevojitet!		Вимагається номер партії	লট নম্বর দরকার !	Partiinumber on hädavajalik!	شماره سری مورد نیاز است!	Reikalingas partijos numeris!		ロット番号が必要です！	Eränumero tarvitaan		dummy
10	A lowercase letter	En liten bokstav	Una letra minúscula	Una letra minuscula	Kleinbuchstabe	Kleine letter		Une lettre en minuscule	Une lettre en minuscule		小写字母	一個小寫字母	Прописная буква			Huruf kecil	Ένα μικρό γράμμα		Letra minúscula	Uma letra minúscula	حرف صغير من الأبجدية الانجليزية 	Et \"lille\" bogstav	Bir küçük harf	Mała litera		Lettera minuscola	एक छोटा अक्षर	O litera mica	Dùng chữ thường		shkronje e vogel	malé písmeno	Літера нижнього реєстру	ছোট অক্ষর 	Väiketäht	یک حرف کوچک	Apatinio registro raidė		数量	Pieni kirjain		dummy
11	A number	Ett tal	Un número	Un numero	Nummer	Numeriek		Un nombre	Un nombre		数字	一個數字	Номер			Angka	Ένας αριθμός		Um número	Um número	رقم	Et tal	Bir sayı	Numer		Un numero	एक नंबर	Un numar	Chữ số		numer	Číslo	Номер	নম্বর 	Number	یک شماره	Skaičius		このＩＤの患者は既に存在します。	Numero		dummy
12	A patient with this ID already exists.	En patient med detta ID finns redan	Un paciente con ese Nº ID ya existe	Un paciente con esta ID ya existe	Ein Patient mit dieser ID existiert bereits	Een client met deze ID is al geregistreed		Un patient avec cet identifiant existe déjà.	Un patient avec cet identifiant existe déjà.		已有客户持有此身份证号。	一位有這個身分證的病人已經存在	Пациент с этим ID уже существует.			Pasien dengan ID tersebut telah terdaftar	Υπάρχει ήδη ασθενής με αυτόν τον Κωδικό.		Já existe um utentecom este ID.	Já existe um paciente com está identificação.	هوية التعريف لهذا المريض موجودة مسبقاً 	Der findes allerede en patient med dette nummer	Bu ID ile önceden kayıtlı bir hasta var.	Pacjent z tym numerem ID już istnieje		Esiste già un paziente con lo stesso ID	इस आईडी के साथ एक मरीज ​​पहले से ही मौजूद है.	Un pacient cu acest ID exista deja.	Đã có bệnh nhân với số chứng minh thư này.		Ne sistem aktualisht egziston nje pacient me kete numer identifikimi (ID).	Pacient s tímto ID již existuje	Пацієнт з цим ID вже існує	এই ID র পেশেন্ট মজুত আছে 	Sellise ID-ga patsient on juba olemas	اکنون بیماری با این شماره شناسایی وجود دارد.	Pacientas su tokiu asmens kodu jau yra		この名前の患者は既に存在します。	Potilas tällä ID:llä on jo olemassa.		dummy
13	A patient with this name already exists.	En patient med detta namn finns redan	Un paciente con este nombre ya existe.	Un paciente con este nombre ya existe	Ein Patient mit diesem Namen existiert bereits	Een client met deze naam bestaat al		Un patient avec ce nom existe déjà.	Un patient avec ce nom existe déjà.	En pasient med dette navnet eksisterer allerede.	已有客户使用此姓名。	一位有這個名字的病人已經存在	Пациент под этим именем уже существует			Pasien dengan Nama tersebut telah terdaftar	Υπάρχει ήδη ασθενής με αυτό το όνομα.		Já existe um utentecom este nome.	Já existe um paciente com este nome.	اسم هذا المريض موجود مسبقاً 	Der findes allerede en patient med dette navn	Bu isim ile önceden kayıtlı bir hasta var.	Pacjent o tym nazwisku już istnieje		Esiste già un paziente con lo stesso nome	इस नाम के साथ एक मरीज ​​पहले से ही मौजूद है.	Un pacient cu acest nume exista deja.	Đã có bệnh nhân với tên này.		Ne sistem aktualisht egziston nje pacient me kete emer.	Pacient tohoto jména již existuje	Пацієнт з цим іменем вже існує	এই নামের পেশেন্ট মজুত আছে 	Sellise nimega patsient on juba olemas	اکنون بیماری با این نام وجود دارد.	Pacientas su tokiu vardu jau yra			Potilas tällä nimellä on jo olemassa.		dummy
14	A patient with this SS already exists.	En patient med detta personnummer ( SS ) finns redan	Un paciente con este Nº Seguridad Social ya existe	Un paciente con este numero de Seguro Social ya existe	Ein Patient mit dieser SS existiert bereits	Een client met deze Soc.Sec. bestaat al		Un patient avec ce numero de sécurité social existe déjà.	Un patient avec ce matriculant existe déjà.		已有客户使用此身份证号。	一位有這種沙門氏-志賀氏桿菌的病人已經存在	Пациент с этим SS уже существует.			Pasien dengan SS tersebut telah terdaftar	Υπάρχει ήδη ασθενής με αυτόν τον ΑΜΚΑ.		Já existe um utente com este SS.	Um paciente com este CPF já existe.	رقم الضمان الاجتماعي لهذا المريض موجود مسبقاً	Der findes allerede en patient med dette CPRnummer	Bu SGK numarası ile önceden kayıtlı bir hasta var.	Pacjent z tym PESELem istnieje		Esiste già un paziente con lo stesso CF	इस SS के साथ एक मरीज ​​पहले से ही मौजूद है.	Un pacient cu acest SS exista deja.	Đã có bệnh nhân với số ASXH này.		Nee pacient me kete SS egziston aktualisht.	pacient s tímto SS již existuje	Пацієнт з цим SS (інд. податк. ном.) вже існує	এই আধার এর পেশেন্ট মজুত আছে 	Sellise SS numbriga patsient juba eksisteerib	اکنون بیماری با این کد ملی وجود دارد.	Pacientas su tokiu socialinio draudimo numeriu jau yra			Potilas tällä sotulla on jo olemassa.		dummy
15	A positive number will show that many past appointments on a Widget in the Patient Summary screen (a negative number will show the past appointments in descending order)																																									dummy
16	A positive number will show that many past appointments on a Widget in the Patient Summary screen.	Ett positivt nummer kommer visa antalet tidigare bokningar i en ruta på patientöversikten.			eine positive Zahl in einem Fenster im Zusammenfassungbild der Akte zeigt wieviele Vorstellungen erfolgten	Een positief nummer geeft aan dat er afspraken in verleden geweest zijn in het WIDGET-scherm van de patient		Un chiffre positif montrera autant de rendez-vous depassés sur un Widget dans l\'écran Résumé du patient.									Ένας θετικός αριθμός θα εμφανίσει πολλά περασμένα ραντεβού σε ένα Widget στην οθόνη με την Πρίληψη Πελάτη.			Um número positivo vai mostrar que muitos agendamentos anteriores no Aplicativo na tela de Resumo do Paciente.	يعرض الرقم الموجب عدة مواعيد سابقة على أداة في شاشة ملخص المريض.			Dodatnia liczba pokaże, że wiele poprzednich spotkań na Widget w pacjencie ekranie Podsumowanie.		Un numero positivo mostrerà che molti appuntamenti passati su un widget nella schermata del sommario paziente.		Un numar pozitiv va arata ca multe programari trecute pe Widget pe ecran in fisa pacientului.					Додатнє число покаже кількість попередніх прийомів на віджеті у вікні з загальною інформацією про пацієнта.		Positiivne number näitab nii mitu eelnevat visiiti Patsiendi Koondlehe Moodulis					Positiivinen luku näyttää useilla aiemmilla lähetetyt laatikkoon Potilaan yhteenveto.		dummy
17	A referral source may be specified for each visit.	Den remitterande instansen kan framgå vid varje besök	Una fuente de derivación puede ser especificada para cada visita	Una fuente de referencia puede ser especificada para cada visita	Überweisungsquelle kann bei jeder Vorstellung neu definiert werden	Aanmaken van verwijs bron kan bij ieder bezoek		Une source de référence peut être spécifiée pour chaque visite.	Une source de référence peut être spécifiée pour chaque visite.		可为每次门诊标明转介来源。	每次訪問，可以指定轉介來源。	Источник направления может быть указан для каждого посещения.			Sumber rujukan harus ditentukan pada tiap kunjungan	Μπορεί να οριστεί μια πηγή παραπομπής για κάθε επίσκεψη.		Uma fonte de referência pode ser especificada para cada visita	Uma fonte de referência pode ser especificada para cada visita.	يمكن تحديد مصدر الإحالة عن كل زيارة		Her vizite için sevk eden bir kaynak belirtilebilir.	Źródło skierowania może być określone dla każdej wizyty		Una fonte di riferimento può essere specificata per ogni visita	एक सिफ़ारिश प्रत्येक visit के लिए निर्दिष्ट की जा सकती है.	O sursa de referinta va fi specificata pentru fiecare vizita.	Có thể chỉ ra nguồn giới thiệu cho mỗi lần đến khám.		Per cdo vizite mund te specifikohet personi rekomandues.		Джерело направлення може вимагатися при кожному відвідуванні		Suunava allika võib määratleda iga visiidi jaoks	ممکن است منبع ارجاعی برای هر ویزیت مشخص شده باشد.				Lähetteen antaja voidaan määrittää jokaisesta käynnistä.		dummy
18	A related IPPF code is required!	En relaterad IPPF kod krävs!	Un código IPPF relacionado es requerido!	Un código IPPF relacionado es requerido	Eine verknüpfter IPPF Code wird benötigt	Een overeenkomstige IPPF code is noodzakelijk!		Un code relatif à IPPF est exigé!	Le code relatif à IPPF est exigé!	En relatert IPPF kode trenges	需要一个相关的IPPF代码！	需要一個相關國際計劃生育聯合會的代碼！	Требуется cвязанный код IPPF!			Diperlukan kode yang berhubungan dengan IPPF!	Απαιτείται ένας σχετικός κωδικός IPPF		Necessario o codigo IPPF	Um código IPPF relacionado é necessário!	يطلب الرمز IPPF  ذو الصلة	En relaterad IPPF kod krävs!	İlgili bir IPPF kodu gerekiyor!	Wymagany jest odpowiadający kod IPPF!		Si richiede il relativo codice IPFF	एक संबंधित IPPF कोड की आवश्यकता है!	Este necesar un cod IPPF.	Phải có mã IPPF liên quan!		Numri referues IPPF kerkohet!		Відповідний код IPPF є необхідним!		Vajalik on seotud IPPF kood!	به یک کد IPPF مرتبط نیاز است!				Vastaava IPPF koodi vaaditaan!		dummy
19	A special character	Ett specialtecken	Un carácter especial	Un caracter especial	Sonderzeichen	Een speciaal karakter		Un caractère spécial 	Un caractère spécial 	Spesialtegn	一个特殊字符	特性	специальный символ			Karakter khusus	Ένας ειδικός χαρακτήρας		Caractere especial	Um caractere especial	حرف خاص	En special karakter	Özel bir karakter	Znak specjalny		Carattere speciale	एक विशेष character	Un caracter special	Ký tự đặc biệt		Nje karakter special	Speciální znak	Спеціальний символ	একটি স্পেশাল ক্যারেক্টার 	spetsiaalsümbol	یک حرف ویژه	Specialus simbolis			Erikoismerkki		dummy
20	A unique value to identify this field, not visible to the user	Ett unikt värde, som ej är synlig för användaren, identifierar detta fält.	Un valor único para identificar este campo, no visible al usuario	Un valor único para identificar este campo, no visible al usuario	Ein eindeutiger Wert um das Feld zu identifizieren, nicht sichtbar für Benutzer	Een unieke waarde om dit veld te identificeren, onzichtbaar voor de gebruiker		Une valeur unique afin d\'identifier ce champ, invisible pour l\'utilisateur	Une valeur unique afin d\'identifier ce champ, invisible pour l\'utilisateur		一个辨认此域的独有值，用户看不到	一個獨特的價值來辨認此領域，使用者不可看見	Для пользователя уникальное значение идентификации этого поля не видно			Nilai yang unik untuk mengidentifikasi bidang ini, tidak terlihat ke pengguna	Μία μοναδική τιμή για την αναγνώριση αυτού του πεδίου, μη ορατή στο χρήστη		Um valor único para identificar este campo, não visível para o utilizador	Um valor único para identificar este campo, não visível para o usuário	قيمة لامثيل لها للتعريف بهذا الحقل ,غير مرئية للمستخدم	Ett unikt värde för att identifiera detta område, inte synlig för användaren	Bu alanı tanımlayacak,kullanıcıya görünmeyen, benzersiz bir değer	Unikalna wartość identyfikująca to pole, nie widoczna dla użytkownika		Valore unico di identificazione per questo campo, non visibile all\'utente	इस क्षेत्र को पहचान करने के लिए एक अनूठा मूल्य, उपयोगकर्ता नहीं देख सकते हैं	O valoare unica pentru identificarea acestui camp, dar ne-vizibila de user.	Một giá trị duy nhất để xác định trường này, không hiển thị cho người sử dụng		Nje vlere unike per te identifikuar kete fushe, e padukshme per perduruesin	Unikátní identifikátor pole není pro uživatele viditelný	Унікальне значення ідентифікації цього поля, не видиме для користувача 		Unikaalne väärtus selle välja jaoks, pole kasutajale nähtav	یک مقدار منحصر به فرد برای شناسایی این فیلد، برای کاربر قابل مشاهده نیست				Yksilöllinen arvo tähän kenttään. Ei näy käyttäjälle.		dummy
21	A visit already exists for this patient today. Click Cancel to open it, or OK to proceed with creating a new one.																																									dummy
22	a.c.	Före måltid	antes de las comidas	antes de las comidas	präprandial	voor ontbijt		Avant les repas	Avant les repas		a.c.	a.c.	до еды			Sebelum makan	προ φαγητού		a.c.	c.a.	قبل الطعام	Før et måltid	yemekten önce	przed posiłkiem		ante cibum		a.c.	trước khi ăn		a.c.		Перед їжею		?enne sööki	پیش از غذا				Ennen ateriaa		dummy
23	a.m.	förmiddag	a.m.	a.m.	morgens	in de morgen		matin	matin		上午	上午	до полудня			Pagi Hari	π.μ.		a.m.	da tarde	بعد الطعام	Formiddag	öğleden önce	rano		a.m.	प्रात:	a.m.	buổi sáng		a.m.	dopoledne	До полудня		enne lõunat	صبح				Aamupäivä	a.m	dummy
24	A/F Level Right:		A/F Nivel de Derecho:	Nivel aire/fluido correcto	Luft-Flüssigkeit-Ebene rechts	A/F Niveau rechts:		Fluidité d\'air au niveau de l\'oreille droite	Fluidité d\'air au niveau de l\'oreille droite		A/F级右侧：	A/F Level右側：	Равное право при пожаре или несчастном случае:			A/F Level Kanan	Υδραερικό επίπεδο Δεξιά:		A/F Nivel Direito	A/F Nível Direita:	الرجفان الأذيني يمين المستوى		A/F Sağ Düzey	A/F Prawo Level:		A/F Giusto livello:		A/F Nivel dreapta:	A/F Level Right:		A/F Niveli i djathte:		A/F Рівень		dummy					Ilma / neste tasolla oikein		dummy
25	AB	AB	AB	AB	AB	AB		AB	AB		AB	不正常 流產	Астматический бронхит			AB			AB	Agenda	اب	AB	AB	AB		AB	ए बी	AB	AB		AB		Астматичний бронхіт		Aadressiraamat					AB	AB	dummy
26	Abbreviation	Förkortning	Abreviatura	Abreviatura	Abkürzung	Afkorting		Abréviation	Abréviation		缩写	縮寫	Сокращение			Kependekan	Συντόμευση		Abreviatura	Abreviatura	اختصارات	Forkortelse	Kısaltma	Skrót		Abbreviazione	संक्षेप	Abreviere	Viết tắt		Shkurtim		Скорочення		Lühend	مخفف				Lyhenne		dummy
27	Abcess:	Abscess	Abceso:	Absceso	Geschwür:	Abces		Abcès	Abcès		脓肿：	膿瘍	Абсцесс:			Abses	Απόστημα:		Abcesso:	Abcesso:	خراج	Abcess:	Abse	Ropień:		Ascesso		Abces:	Abcess:		Abces:	Absces	Абсцес		Abstsess:	Abcess:	Abscesas:			Paise	농양	dummy
28	Abdominal	Abdominell	Abdominal	Abdominal	Abdominal	Abdominaal		Abdominal	Abdominal		腹部	腹部的	Абдоминальный			Perut	Κοιλιακό		Abdominal	Abdominal	بطني	Abdominal	Abdominal	brzuszny		Addominale	उदर	Abdominal	Bụng		Abdominal	Abdominální	Черевний		Abdominaalne	Abdominal				Vatsa	복부	dummy
29	Able to Bear Weight four (4) steps:	kan bära vikt fyra (4) steg: 	Capaz de cargar peso cuatro (4) pasos:	Capaz de cargar peso cuatro pasos	Kann Gewicht heben in vier (4) Schritten:	Vier stappenplan voor toename gewichtsbelasting: 		Capable de supporter le poids sur 4 marches:	Capable de supporter le poids sur 4 marches:		能承受重量四(4)步骤：	能夠承受重量4個步驟：	Способен переносить вес на четыре (4) шага			Mampu Berjalan empat (4) langkah:	Εις θέση να σηκώσει βάρος για τέσσερα (4) βήματα:		Capaz de suportar o peso por quatro (4) passos:	Capaz de suportar o peso por quatro (4) passos:	قادر على حمل الوزن أربع خطوات	kan bära Vikt fyra (4) steg: 	Dört (4) Basamak Ağırlık Taşıyabilir:	Nośne cztery (4) czynności:		Capace di portare pesi per quattro passi	वजन चार कदम (4) को सहन करने में सक्षम	Capabil sa suporte greutatea patru (4) etape	Có khả năng Mang Nặng bốn (4) bước:		I Afte te Perballoje Pesha kater (4) hapat:		Здатність переносити вагу (4 фази):		On võimeline kandma raskust neli (4) sammu edasi:	قادر به تحمل وزن چهار (4) مرحله:				Pystyy kantamaan painoa neljä (4) seuraavasti:		dummy
30	Abn	Patologisk	Anormal	Anormal	Abn	Abn		Anormal	Anormal		异常的	異常的	Откл.			Abn	Παθολ.		Abn	ABN	غير طبيعي	Abn	Abn	Abn		Anorm	असामान्य	Abn	Abn		Abn		Аномальний		Ebanormaalne					Poikkeava	비정상	dummy
31	ABN1	ABN1	ABN1	ABN1	ABN1	Abn.1		ABN1			异常1	不正常1	Откл.1			ABN1			ABN1	ABN1	إشعار ميديكير المتقدم 1	ABN1	ABN1	ABN1		ANORM1	असामान्य 1	ABN1	ABN1		ABN1		Відхилення від норми 1		Ebanormaalne 1					ABN1		dummy
32	Abnormal	Patologisk	Anormal	Anormal	auffällig	Abnormaal		Anormal	Anormal	Unormal	异常的	不正常	Отклонение от нормы			Abnormal	Παθολογικό		Anormal	Anormal	غير عادي	Unormal	Anormal	Odchylenie		Anormale	असामान्य	Anormal	Bất bình thường		Anormal	Abnormální	Аномальний, з відхиленням від норми		Ebanormaalne	ناهنجار	Nukrypimas nuo normos			Poikkeava	비정상	dummy
33	Abnormal Blood Test	Patologiskt blodprov	Análisis de sangre anormal	Análisis de sangre anormal	auffälliger Bluttest	Abnormale bloedtest		Test Sanguin Anormal	Test Sanguin Anormal	Unormal Blodprøve	异常的血液测验	不正常的血液測試	Анализ крови с отклонением от нормы			Tes Darah Abnormal	Παθολογική εξέταση αίματος		Teste Sanguíneo Anormal	Teste de Sangue Anormal	فحص دم غير عادي	Unormal blodprøve	Anormal kan testi	Nieprawidłowy wynik badania krwi		Esame del sangue anormale	असामान्य रक्त परीक्षण	Anormal test de sange	Xét nghiệm máu bất thường		Analize gjaku jo normale	Abnormální krevní test	Аналіз крові з відхиленням від норми		Ebanormaalne vereanalüüs	آزمایش خون ناهنجار	Patologiniai kraujo tyrimų rezultatai			Poikkeava verikoe	혈액검사 비정상	dummy
34	Abnormal Hair Growth	Avvikande hårväxt	Crecimiento anormal del pelo	Crecimiento anormal del pelo	auffälliges Haarwachstum	Abnormale haargroei		Croissance anormale des cheveux	Croissance anormale des cheveux	Unormal Hårvekst	异常的毛发生长	不正常的頭髮生長	Патология роста волос			Pertumbuhan Rambut Abnormal	Παθολογική τριχοφυΐα		Crescimento Anormal do Cabelo	Crescimento anormal dos cabelos	نمو شعر غير عادي	Unormal Hårvækst	Anormal tüylenme	Nieprawidłowy wzrost włosów		Ipertricosi anomala	असामान्य बाल विकास	Cresterea parului anormala	Tăng trưởng Tóc Bất thường		Rritje flokesh jo normale	Patologie růstu vlasů	Аномальний ріст волосся		Ebanormaalne juuksekasv	رشد موی ناهنجار	Patologinis plaukų augimas			Poikkeava hiusten kasvu	모발자람 비정상	dummy
35	Abnormal Mammogram	Patologisk mammografi	Mamografía anormal	Mamografía anormal	auffälliges Mammogramm	Abnormaal mammogram		Mammographie Anormale	Mammographie Anormale		异常的乳房X光	不正常的乳房攝影	Маммограмма с отклонением от нормы			Mammogram Abnormal	Παθολογική μαστογραφία		Mamografia Anormal	Mamografia anormal	تصوير ثدي غير عادي	Onormalt mammogram	Anormal Mamografi filmi	Nieprawidłowy wynik badania mammograficznego		Mammogramma anormale	असामान्य मेम्मोग्राम	Anormala mamografie	Tuyến vú Bất thường		Mamograme jo normale	Patologický mamogram	Мамограма з відхиленням від норми		Ebanormaalne mammogramm	ماموگرام ناهنجار	Patologinė mamograma			Poikkeava mammografia	유방쵤영 비정상	dummy
