Weno Exchange LLC Pharmacy Directory Last Updated at 08-28-2017 10:06:10 AM(CST)
Last Updated,Store_Name,NCPDP,Active,NPI,Pharmacy_Phone,Pharmacy_Fax,Address_Line_1,Address_Line_2,City,State,ZipCode,Retail,Specialty,Long Term Care,Mail Order,Mail State Codes,Mail Address Line 1,Mail Address Line 2,Mail City,Mail State,Mail Zip Code,Mail Phone,Mail Fax,EPCS_Permitted,Accept_NewRx,Accept_RefillResponse,Accept_RxChangeResponse,Accept_Verify,Accept_CancelRx,Accept_RxHistoryRequest,Accept_RxHistoryResponse,Accept_Census,Accept_Resupply
"1/9/2017 2:24:36 AM","Quality Pharmacy","0522688","YES","1477548816","7144490448","7144490987","2605 W Orangethorpe Ave","","Fullerton","CA","92833","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"3/28/2013 10:21:58 AM","Infusion Solutions P","0522690","YES","Pending","7147011192","7147011195","4420 E Miraloma Ave Suite F","","Anaheim","CA","92807","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"6/10/2014 10:23:19 AM","Ione Pharmacy","0539316","YES","1134231129","2092742432","2092746165","PO Box 1025","","Ione","CA","95640","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 3:05:15 AM","Vina Pharmacy","0541878","YES","1164421988","5592253757","5592255902","2308 N Fresno St","","Fresno","CA","93703","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:50:19 AM","Creekside Pharmacy","0542642","YES","1497124689","4089296029","4089296145","1863 # A Alum Rock Ave","","San Jose","CA","95116","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"5/1/2013 4:17:39 PM","Jackson Med United D","0544709","YES","Pending","4082518122","4082516989","266 North Jackson Ave # 8","","San Jose","CA","95116","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/26/2013 7:56:29 PM","Alum Rock Pharmacy","0545030","YES","Pending","4082541551","4082543099","1855 Alum Rock Ave. #A ","","San Jose","CA","95116","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"1/9/2017 2:59:37 AM","Discount Pharmacy","0547995","YES","1487653994","5592680712","5592680722","	703 N Fulton Suite # 201","","	Fresno","CA","93728","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:15:01 AM","Van Pharmacy","0549658","YES","1336221910","2094789868","2094786930","4502 N Pershing Ave # AB","","Stockton","CA","95207","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 3:42:16 AM","My Lan Pharmacy","0550459","YES","1497746200","5104511916","5104511350","401","E 18th St. # B","Oakland","CA","94606","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"10/3/2013 7:02:52 AM"," Tropicana Drugs","0551021","YES","Pending","4082516441","4087296181","1167 South King Rd","","San Jose","CA","95122","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"1/9/2017 2:14:02 AM","Blue Star Pharmacy","0555409","YES","1740291335","9164229861","9163911720","3811 Florin Rd # 28","","Sacramento","CA","95823","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:30:06 AM","Kim Pharmacy","0563913","YES","1659417343","9163923488","9163923489","6665 Stockton Blvd # 6","","Sacramento","CA","95823","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:01:56 AM","Aborn Compounding Pharmacy","0575033","YES","1053346890","4082383968","4082383978","2060","Aborn Rd # 150 B","San Jose","CA","95121","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 2:48:27 AM","Brian Pharmacy","0578534","YES","1043346190","6195639917","6195632097","4224","EL Cajon Blvd","San Diego","CA","92105","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"4/26/2017 2:53:01 PM","Thanh Thuy Pharmacy","0579360","YES","1639220296","9163917210","9163917230","6830 Stockton Blvd #160","","Sacramento","CA","95823","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:38:30 AM","Ellis Pharmacy","0582608","YES","1356553812","4154411016","4154415088","484 Ellis St","","San Franisco","CA","94102","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 2:16:46 AM","California Pharmacy","0590162","YES","1235256470","9163625400","9163625454","9550 Micron Ave","","Sacramento","CA","95827","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"4/26/2013 7:40:48 PM","Medex Drugs","0596948","YES","Pending","4082928244","4082982931","401 East Santa Clara Street ","","San Jose","CA","95113","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"1/9/2017 3:56:50 AM","Tully Medical Clinic Pharmacy","0598536","YES","1407293830","4082746698","4082748580","1693 Flanigan Dr # 104","","San Jose","CA","95121","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"3/27/2014 10:17:47 AM","ANTHONYS PHARMACY","1048051","YES","1770714867","5618474820","5618474823","9121 North Military Trail ","Suite 106","West Palm Beach ","FL","33410","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/26/2017 2:57:49 PM","CCS Medical","1086203","YES","-","8883088882","8008359935","14255 49th Street North Suite 301","","Clearwater","FL","33762","True","False","False","True","ALL","14255 49th Street, North, Suite 301","","Clearwater","FL","33762","8883088882","8008359935","False","True","True","False","False","False","False","False","False","False"
"4/8/2014 10:08:34 AM","ADVANCE RX AND CMPDG PHARMACY","1095214","YES","1396863478","4084488181","4084486662","6951 St Augustine Road","","Jacksonville","FL","32217","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/11/2014 9:58:34 AM","Newton Medical Center","1120081","YES","1245357656","7703854459","7703854460","5126 Hospital Drive N.E.","","Covington","GA","30014","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"9/12/2014 10:04:56 PM","CHINATOWN PHARMACY","1202528","YES","1841382777","8085336288","8085336288","70 North Hotel Street ","","Honolulu","HI","96817","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"6/13/2013 11:11:01 AM","S & B Drugs","1930797","YES","Pending","3185746363","3185749315","501 N CHESTNUT ST","","Tallulah","LA","71282","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/21/2015 3:54:41 PM","Sequoyah Memorial Hospital Pharmacy","3719905","YES","1558490219","9187741161","9187741132","213 E Redwood","","Sallisaw","OK","74955","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"12/7/2016 5:59:58 PM","Ethical Factor RX","3995757","YES","1871881573","5706063622","5703716317","330 Montage Mountain Rd # A-11","","Moosic","PA","18507","True","True","True","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"10/7/2014 4:03:56 PM","MUGFORD PHARMACY","4407943","YES","1912049503","8665775533","8655779959","3909 Martin Mill Park","","Knoxville","TN","37920","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"5/22/2013 12:21:49 AM","MAINLAND LEGEND PHAR","4500294","YES","Pending","4099452368","4099456281","601 9TH AVE N","","Texas City","TX","77590","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"5/14/2013 5:17:42 PM","Buy For Less Pharmac","4531580","YES","Pending","8062563111","8062563551","1814 North Bill Mack","","Shamrock","TX","79079","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/1/2014 11:23:33 AM","CORNERSTONE RX PHARMACY","4554261","YES","1396070868","7137718217","7137718237","7255 Bissonnet Street  ","","Houston","TX","77074","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"3/27/2014 10:57:30 AM","DSP INC PHARMACY","4914570","YES","1588776496","3609770000","3608501439","2541 Perry Avenue","","Bremerton","WA","98310","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"3/27/2014 10:28:15 AM","COLUMBIA PHARMACY","4917110","YES","1699879643","2067235233","2067257240","4741 Rainier Avenue  South  ","","Seattle","WA","98118","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"3/27/2014 11:05:34 AM","MAILINH PHARMACY","4918237","YES","1306918107","2533832576","2533832598","1211 South 11th Street","","Tacoma","WA","98405","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/10/2013 1:10:47 PM","Bascom Pharmacy","5616644","YES","Pending","4089956020","4089955320","105 N Bascom Ave #105","","San Jose","CA","95128","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"1/9/2017 3:51:11 AM","Friendly # 2 Pharmacy","5629956","YES","1427221944","4082798188","4082798104","639","Tuly Rd Suite A","San Jose","CA","95111","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 12:52:47 AM","Lotus Pharmacy","5638800","YES","1720317613","9164225675","9164229864","6540 Stockton Blvd. # B","","Sacramento","CA","95823","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"4/26/2017 2:55:17 PM","Vangs Pharmacy","5641344","YES","1013202829","9163935961","9163935972","7260 E Southgate Dr Ste E","","Sacramento","CA","95823","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 4:10:53 AM","Riverbank Pharmacy","5642978","YES","1518239482","2098639988","2098631212","2603 Patterson Rd # 9","","Riverbank","CA","95367","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"1/9/2017 5:02:19 AM","Kim Pharmacy # 3","5644782","YES","1962762054","9164699813","9164699874","5026 Fruitridge Rd # 3","","Sacramento","CA","95820","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"10/12/2015 3:12:26 PM","Lion Pharmacy ","5655969","YES","none","4087843921","4087843465","2857 Senter Rd","Suite A","San Jose","CA","95111","True","False","False","False","","","","","","","","","False","True","False","False","False","False","False","False","False","False"
"4/25/2017 6:33:06 PM","ClickeMD Mail Order","5733882","YES","2883375","5614338500","5612960901","6252 South Congress Ave","Suite J1","Lantana","FL","33462","True","False","False","True","ALL","6252 South Congress Ave","Suite J1","Lantana","FL","33462","5614338500","5612960901","False","True","True","False","True","False","True","True","False","False"
"4/1/2014 11:50:27 AM","Ennis Pharmacy","5900229","YES","1710206099","7135247600","7135247604","  4702 Ennis","","Houston","TX","77004","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"3/27/2014 10:46:09 AM","STAR PHARMACY","5900938","YES","1881913457","7137733015","7137733215","8542 West Bellfort ","","Houston","TX","77071","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"3/27/2014 10:53:19 AM","XPRESS PHARMACY","5903225","YES","1144530692","7135413300","7135413301","7555 Bellaire Blvd  Ste  B","","Houston","TX","77036","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
"4/1/2014 12:17:34 PM","Kase RX Pharmacy","5905712","YES","1780965129","7137779200","7137779201","8353 Southwest Freeway","","Houston","TX","77074","True","False","False","False","","","","","","","","","False","True","True","False","False","False","False","False","False","False"
